Official name of position,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard module power ID,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group,nominal HV,old FED ID
FPix_BpI_D1_BLD11_PNL2_RNG1,1T,M-P-2-46,4083,15,1Ta,1TD,6,PR103,portcard_FPix_BpI_D1_PRT4,PB-10,J12,4,dcdc_FPix_BpI_D1_PRT4,Disk1_RG1,CI-A 053,P101,A21,SN112498/0029,B14,3.02E+13,A,0x7b,0x10,FPix +z down right 2,1,FPix +z down right 3,2,1,brown-4,31/32,7,b,1302,top,,10,1,1,D1-RG1-HV2,-300V,1286
FPix_BpI_D1_BLD10_PNL2_RNG1,2T,M-P-2-47,4070,14,1Ta,1TD,4,PR103,portcard_FPix_BpI_D1_PRT4,PB-10,J12,4,dcdc_FPix_BpI_D1_PRT4,Disk1_RG1,CI-A 053,P101,A20,SN112498/0026,B14,3.02E+13,A,0x7b,0x10,FPix +z down right 2,2,FPix +z down right 3,2,2,brown-4,7/8,7,t,1302,top,,10,1,1,D1-RG1-HV2,-300V,1286
FPix_BpI_D1_BLD9_PNL2_RNG1,3T,M-P-1-07,4081,13,1Ta,1TD,2,PR103,portcard_FPix_BpI_D1_PRT4,PB-10,J12,4,dcdc_FPix_BpI_D1_PRT4,Disk1_RG1,CI-A 053,P101,A19,SN112498/0002,B14,3.02E+13,A,0x7b,0x10,FPix +z down right 2,3,FPix +z down right 3,2,3,brown-4,31/32,6,b,1301,top,,10,1,1,D1-RG1-HV2,-300V,1285
FPix_BpI_D1_BLD8_PNL2_RNG1,4T,M-P-5-45,4078,15,1Tb,1TC,6,PR105,portcard_FPix_BpI_D1_PRT3,PB-2,J12,4,dcdc_FPix_BpI_D1_PRT3,Disk1_RG2,CI-A 040,P102,A17,SN112498/0037,B14,3.02E+13,B,0x7c,0x10,FPix +z down right 2,5,FPix +z down right 3,2,5,orange-2,27/28,5,b,1300,top,,10,1,2,D1-RG2-HV2,-300V,1284
FPix_BpI_D1_BLD7_PNL2_RNG1,5T,M-P-6-33,4085,14,1Tb,1TC,2,PR105,portcard_FPix_BpI_D1_PRT3,PB-2,J12,4,dcdc_FPix_BpI_D1_PRT3,Disk1_RG2,CI-A 040,P102,B15,SN112498/0006,B14,3.02E+13,B,0x7c,0x10,FPix +z down right 3,1,FPix +z down right 3,2,7,orange-2,27/28,4,b,1299,top,,10,1,2,D1-RG2-HV2,-300V,1283
FPix_BpI_D1_BLD6_PNL2_RNG1,6T,M-P-4-20,6144,15,1Tc,1TB,6,PR108,portcard_FPix_BpI_D1_PRT2,PB-48,J12,4,dcdc_FPix_BpI_D1_PRT2,Disk1_RG3,CI-A 028,P96,C7,SN112498/0010,C10,3.02E+13,A,0x7e,0x10,FPix +z up right 6,1,FPix +z up right 6,4,8,brown-4,7/8,4,t,1299,top,,9,1,1,D1-RG3-HV2,-300V,1283
FPix_BpI_D1_BLD5_PNL2_RNG1,7T,M-P-2-27,4079,14,1Tc,1TB,4,PR108,portcard_FPix_BpI_D1_PRT2,PB-48,J12,4,dcdc_FPix_BpI_D1_PRT2,Disk1_RG3,CI-A 028,P96,C6,SN112498/0009,C10,3.02E+13,A,0x7e,0x10,FPix +z up right 5,6,FPix +z up right 6,4,9,brown-4,31/32,3,b,1298,top,,9,1,1,D1-RG3-HV2,-300V,1282
FPix_BpI_D1_BLD4_PNL2_RNG1,8T,M-G-2-13,4072,13,1Tc,1TB,2,PR108,portcard_FPix_BpI_D1_PRT2,PB-48,J12,4,dcdc_FPix_BpI_D1_PRT2,Disk1_RG3,CI-A 028,P96,D5,SN112498/0008,C10,3.02E+13,A,0x7e,0x10,FPix +z up right 5,5,FPix +z up right 6,4,10,brown-4,7/8,3,t,1298,top,,9,1,1,D1-RG3-HV2,-300V,1282
FPix_BpI_D1_BLD3_PNL2_RNG1,9T,M-P-5-17,6254,15,1Td,1TA,6,PR106,portcard_FPix_BpI_D1_PRT1,PB-27,J12,4,dcdc_FPix_BpI_D1_PRT1,Disk1_RG4,CI-A 042,P119,D3,SN112498/0031,C10,3.02E+13,B,0x7d,0x10,FPix +z up right 5,3,FPix +z up right 6,4,12,orange-2,3/4,2,t,1297,top,,9,1,2,D1-RG4-HV2,-300V,1281
FPix_BpI_D1_BLD2_PNL2_RNG1,10T,M-Q-6-06,6149,14,1Td,1TA,4,PR106,portcard_FPix_BpI_D1_PRT1,PB-27,J12,4,dcdc_FPix_BpI_D1_PRT1,Disk1_RG4,CI-A 042,P119,D2,SN112498/0030,C10,3.02E+13,B,0x7d,0x10,FPix +z up right 5,2,FPix +z up right 6,4,13,orange-2,27/28,1,b,1296,top,,9,1,2,D1-RG4-HV2,-300V,1280
